B.E.,O 1s:CPS,O 1s:gas phase,O 1s:multi H2O,O 1s:H2O,O 1s:OH,O 1s:O*,Background,Envelope,,
5.319000e+002,3.303953e+003,1.217559e+003,1.334840e+003,3.040469e+003,1.350742e+003,1.230425e+003,1.217553e+003,3.303823e+003,,
5.318000e+002,3.344733e+003,1.215530e+003,1.305166e+003,3.131410e+003,1.390047e+003,1.234307e+003,1.215526e+003,3.414354e+003,,
5.317000e+002,3.416067e+003,1.213432e+003,1.280725e+003,3.176793e+003,1.436612e+003,1.240404e+003,1.213430e+003,3.494246e+003,,
5.316000e+002,3.539567e+003,1.211215e+003,1.261041e+003,3.171308e+003,1.489427e+003,1.249440e+003,1.211214e+003,3.537576e+003,,
5.315000e+002,3.546733e+003,1.208989e+003,1.245224e+003,3.117413e+003,1.546595e+003,1.262206e+003,1.208988e+003,3.544474e+003,,
5.314000e+002,3.439167e+003,1.206864e+003,1.232868e+003,3.016821e+003,1.605074e+003,1.280042e+003,1.206864e+003,3.514214e+003,,
5.313000e+002,3.463500e+003,1.204714e+003,1.223065e+003,2.880159e+003,1.660560e+003,1.303537e+003,1.204714e+003,3.453180e+003,,
5.312000e+002,3.366133e+003,1.202654e+003,1.215418e+003,2.716113e+003,1.708355e+003,1.334184e+003,1.202654e+003,3.366107e+003,,
5.311000e+002,3.259397e+003,1.200695e+003,1.209444e+003,2.536695e+003,1.743672e+003,1.372759e+003,1.200695e+003,3.260486e+003,,
5.310000e+002,3.175767e+003,1.198813e+003,1.204711e+003,2.352160e+003,1.762529e+003,1.420153e+003,1.198813e+003,3.143113e+003,,
5.309000e+002,3.117333e+003,1.196985e+003,1.200915e+003,2.171812e+003,1.762563e+003,1.476837e+003,1.196985e+003,3.021172e+003,,
5.308000e+002,2.964440e+003,1.195301e+003,1.197870e+003,2.002472e+003,1.743642e+003,1.542576e+003,1.195301e+003,2.900657e+003,,
5.307000e+002,2.834950e+003,1.193739e+003,1.195403e+003,1.849653e+003,1.707695e+003,1.616835e+003,1.193739e+003,2.788368e+003,,
5.306000e+002,2.693707e+003,1.192310e+003,1.193367e+003,1.715087e+003,1.658430e+003,1.697432e+003,1.192310e+003,2.687386e+003,,
5.305000e+002,2.612230e+003,1.190957e+003,1.191621e+003,1.600694e+003,1.600498e+003,1.781732e+003,1.190957e+003,2.601673e+003,,
5.304000e+002,2.509647e+003,1.189701e+003,1.190111e+003,1.505103e+003,1.538799e+003,1.865714e+003,1.189701e+003,2.530625e+003,,
5.303000e+002,2.421777e+003,1.188527e+003,1.188776e+003,1.427415e+003,1.477688e+003,1.944634e+003,1.188527e+003,2.472932e+003,,
5.302000e+002,2.349003e+003,1.187421e+003,1.187571e+003,1.365451e+003,1.420522e+003,2.013256e+003,1.187421e+003,2.424536e+003,,
5.301000e+002,2.340793e+003,1.186323e+003,1.186411e+003,1.316801e+003,1.369457e+003,2.066631e+003,1.186323e+003,2.380332e+003,,
5.300000e+002,2.257810e+003,1.185302e+003,1.185353e+003,1.279609e+003,1.325700e+003,2.099936e+003,1.185302e+003,2.334694e+003,,
5.299000e+002,2.232957e+003,1.184304e+003,1.184333e+003,1.251242e+003,1.289448e+003,2.111240e+003,1.184304e+003,2.283352e+003,,
5.298000e+002,2.155470e+003,1.183378e+003,1.183395e+003,1.230355e+003,1.260367e+003,2.098013e+003,1.183378e+003,2.221996e+003,,
5.297000e+002,2.163020e+003,1.182445e+003,1.182454e+003,1.214819e+003,1.237603e+003,2.062753e+003,1.182445e+003,2.150295e+003,,
5.296000e+002,2.054803e+003,1.181614e+003,1.181619e+003,1.203643e+003,1.220303e+003,2.007448e+003,1.181614e+003,2.068172e+003,,
5.295000e+002,2.032503e+003,1.180803e+003,1.180806e+003,1.195555e+003,1.207384e+003,1.936910e+003,1.180803e+003,1.978245e+003,,
5.294000e+002,1.931367e+003,1.180088e+003,1.180089e+003,1.189818e+003,1.197981e+003,1.856102e+003,1.180088e+003,1.883726e+003,,
5.293000e+002,1.864950e+003,1.179436e+003,1.179436e+003,1.185771e+003,1.191240e+003,1.770210e+003,1.179436e+003,1.788350e+003,,
5.292000e+002,1.754620e+003,1.178888e+003,1.178888e+003,1.182936e+003,1.186522e+003,1.684009e+003,1.178888e+003,1.695693e+003,,
5.291000e+002,1.677683e+003,1.178412e+003,1.178412e+003,1.180977e+003,1.183253e+003,1.601509e+003,1.178412e+003,1.608913e+003,,
5.290000e+002,1.575573e+003,1.178034e+003,1.178034e+003,1.179625e+003,1.181043e+003,1.525309e+003,1.178034e+003,1.529909e+003,,
5.289000e+002,1.534347e+003,1.177694e+003,1.177694e+003,1.178673e+003,1.179528e+003,1.457546e+003,1.177694e+003,1.460358e+003,,
5.288000e+002,1.444890e+003,1.177440e+003,1.177440e+003,1.178030e+003,1.178536e+003,1.398780e+003,1.177440e+003,1.400466e+003,,
5.287000e+002,1.390557e+003,1.177237e+003,1.177237e+003,1.177588e+003,1.177879e+003,1.349301e+003,1.177237e+003,1.350295e+003,,
5.286000e+002,1.334353e+003,1.177087e+003,1.177087e+003,1.177293e+003,1.177456e+003,1.308617e+003,1.177087e+003,1.309192e+003,,
5.285000e+002,1.242863e+003,1.177024e+003,1.177024e+003,1.177143e+003,1.177232e+003,1.275848e+003,1.177024e+003,1.276175e+003,,
5.284000e+002,1.229793e+003,1.176974e+003,1.176974e+003,1.177042e+003,1.177089e+003,1.250152e+003,1.176974e+003,1.250335e+003,,
5.283000e+002,1.198073e+003,1.176954e+003,1.176954e+003,1.176992e+003,1.177016e+003,1.230172e+003,1.176954e+003,1.230272e+003,,
5.282000e+002,1.227253e+003,1.176906e+003,1.176906e+003,1.176927e+003,1.176939e+003,1.215132e+003,1.176906e+003,1.215186e+003,,
5.281000e+002,1.204257e+003,1.176880e+003,1.176880e+003,1.176892e+003,1.176897e+003,1.203854e+003,1.176880e+003,1.203883e+003,,
5.280000e+002,1.183437e+003,1.176874e+003,1.176874e+003,1.176880e+003,1.176883e+003,1.195655e+003,1.176874e+003,1.195670e+003,,
5.279000e+002,1.170647e+003,1.176868e+003,1.176868e+003,1.176871e+003,1.176872e+003,1.189740e+003,1.176868e+003,1.189747e+003,,
5.278000e+002,1.183847e+003,1.176861e+003,1.176861e+003,1.176863e+003,1.176863e+003,1.185548e+003,1.176861e+003,1.185552e+003,,
5.277000e+002,1.215507e+003,1.176824e+003,1.176824e+003,1.176825e+003,1.176825e+003,1.182612e+003,1.176824e+003,1.182614e+003,,
